NK,mass,taxon_name,tail,wing chord,anterior culmen,posterior_culmen,tarsus
281826,4550,Antigone canadensis tabida,183,515,81.75,102.30,224
281827,4950,Antigone canadensis tabida,209,520,90.15,108.78,234
281828,4300,Antigone canadensis tabida,161,470,72.84,98.39,225
281829,4900,Antigone canadensis tabida,195,534,85.22,105.95,235
281830,4900,Antigone canadensis tabida,194,499,74.68,99.05,214
281831,6350,Antigone canadensis tabida,214,549,92.38,117.39,238
281832,5950,Antigone canadensis tabida,222,549,88.15,117.99,234
281833,5700,Antigone canadensis tabida,213,544,96.18,114.19,228
281834,5400,Antigone canadensis tabida,211,528,93.19,118.25,218
281835,5100,Antigone canadensis tabida,184,527,87.00,102.20,218
281836,5050,Antigone canadensis tabida,198,500,81.41,98.25,220
281837,5150,Antigone canadensis tabida,187,514,80.25,99.15,232
281838,5450,Antigone canadensis tabida,193,501,79.05,94.65,225
281839,5900,Antigone canadensis tabida,209,538,88.68,108.85,244
281840,5850,Antigone canadensis tabida,214,535,84.18,105.19,232
281841,6050,Antigone canadensis tabida,227,533,92.54,111.30,235
281842,5300,Antigone canadensis tabida,190,520,85.15,102.95,234
281843,5350,Antigone canadensis tabida,206,518,88.38,108.65,228
281844,5400,Antigone canadensis tabida,210,525,89.80,107.52,220
281845,3050,Antigone canadensis canadensis,178,468,72.62,81.20,178
281846,5350,Antigone canadensis tabida,209,537,87.88,105.55,225
281847,4350,Antigone canadensis tabida,209,515,81.62,97.00,220
281848,3300,Antigone canadensis canadensis,171,458,69.50,81.62,164
281733,5350,Antigone canadensis tabida,190,530,78.55,102.49,225
281734,5300,Antigone canadensis tabida,190,521,81.36,96.03,253
281735,5750,Antigone canadensis tabida,195,525,88.18,109.19,266
281739,5000,Antigone canadensis tabida,200,508,81.99,103.01,239
281740,5550,Antigone canadensis tabida,203,522,,,259
281741,5150,Antigone canadensis tabida,195,530,70.70,89.97,234
281742,6500,Antigone canadensis canadensis,198,538,85.92,106.14,240
281743,3850,Antigone canadensis canadensis,175,485,64.25,78.84,188
281744,3350,Antigone canadensis canadensis,155,450,56.30,71.48,187
281710,3200,Antigone canadensis canadensis,150,460,58.27,67.37,202
281712,4950,Antigone canadensis tabida,185,495,84.42,97.85,243
281715,6100,Antigone canadensis tabida,190,520,86.29,100.10,260
281718,3150,Antigone canadensis canadensis,180,460,59.41,71.10,180
281719,3950,Antigone canadensis canadensis,190,460,65.53,77.51,190
281721,4500,Antigone canadensis tabida,182,500,70.31,94.37,234
281732,4250,Antigone canadensis tabida,175,505,67.66,84.92,228
281707,6300,Antigone canadensis tabida,205,523,79.54,97.09,262
281701,5850,Antigone canadensis tabida,190,505,87.21,104.77,253
281709,5800,Antigone canadensis tabida,240,480,92.82,109.09,240
281731,4650,Antigone canadensis tabida,200,514,78.85,94.39,211
281738,5800,Antigone canadensis tabida,192,495,86.11,104.91,223
281730,5400,Antigone canadensis tabida,200,520,83.67,98.75,235
281736,5350,Antigone canadensis tabida,195,530,79.66,103.78,244
281729,5000,Antigone canadensis tabida,185,505,76.56,89.00,223
281737,4750,Antigone canadensis canadensis,204,486,78.46,98.56,218
281745,5800,Antigone canadensis canadensis,205,550,78.19,97.84,238
,5500,Antigone canadensis tabida,205,538,76.49,91.80,237
