species,min_elev,max_elev
Elvira_chionura,750,2000
Elvira_cupreiceps,0,1500
Microchera_albocoronata,300,1650
Eupherusa_nigriventris,900,2000
Eupherusa_poliocerca,900,2400
Eupherusa_eximia,800,2500
Eupherusa_cyanophrys,700,2600
Thalurania_ridgwayi,250,1200
Thalurania_glaucopis,0,850
Thalurania_furcata,0,1700
Thalurania_watertonii,0,550
Thalurania_colombica,0,2000
Thalurania_fannyi,0,1900
Chalybura_buffonii,0,2000
Chalybura_urochrysia,0,900
Anthocephala_floriceps,400,2300
Stephanoxis_lalandi,0,1500
Klais_guimeti,0,1700
Campylopterus_phainopeplus,1200,4800
Campylopterus_largipennis,100,1600
Campylopterus_rufus,900,2000
Campylopterus_hemileucurus,100,2400
Campylopterus_villaviscensio,780,1800
Campylopterus_excellens,0,1400
Campylopterus_falcatus,900,3000
Campylopterus_curvipennis,0,1400
Campylopterus_hyperythrus,1000,2050
Campylopterus_duidae,1220,1700
Campylopterus_ensipennis,400,2000
Eugenes_fulgens,1500,2500
Panterpe_insignis,1600,3200
Heliomaster_squamosus,0,800
Heliomaster_longirostris,0,1500
Heliomaster_constantii,0,1500
Heliomaster_furcifer,0,1000
Lamprolaima_rhami,1200,3000
Lampornis_hemileucus,700,1400
Lampornis_clemenciae,1500,3500
Lampornis_sybillae,1400,2200
Lampornis_calolaemus,800,2500
Lampornis_castaneoventris,1500,3000
Lampornis_viridipallens,900,2700
Lampornis_amethystinus,900,3000
Doricha_eliza,0,300
Doricha_enicura,1000,3000
Archilochus_alexandri,0,2000
Archilochus_colubris,0,1900
Tilmatura_dupontii,0,2500
Rhodopis_vesper,0,3000
Myrtis_fanny,0,3000
Calliphlox_mitchellii,0,2400
Eulidia_yarrellii,0,1845
Calliphlox_bryantae,700,1850
Microstilbon_burmeisteri,1100,2600
Chaetocercus_heliodor,1200,3000
Chaetocercus_bombus,0,3000
Chaetocercus_jourdanii,900,2500
Chaetocercus_astreans,825,2000
Chaetocercus_mulsant,1500,2800
Chaetocercus_berlepschi,0,500
Myrmia_micrura,0,200
Thaumastura_cora,0,2400
Calliphlox_amethystina,0,1500
Selasphorus_sasin,0,2500
Selasphorus_rufus,0,3050
Stellula_calliope,180,3400
Selasphorus_scintilla,900,2100
Selasphorus_ardens,750,1800
Selasphorus_flammula,1800,3500
Atthis_ellioti,1500,3500
Atthis_heloisa,1500,3000
Selasphorus_platycercus,1500,2500
Calypte_anna,0,1800
Calypte_costae,0,1000
Androdon_aequatorialis,0,1100
Heliothryx_auritus,0,800
Heliothryx_barroti,0,1000
Heliactin_bilophus,0,1000
Calothorax_pulcher,1000,2200
Calothorax_lucifer,0,2200
Polytmus_milleri,1300,2200
Polytmus_theresiae,100,300
Polytmus_guainumbi,0,600
Avocettula_recurvirostris,0,800
Chrysolampis_mosquitus,0,1700
Anthracothorax_veraguensis,0,1000
Anthracothorax_prevostii,900,1200
Anthracothorax_viridigula,0,500
Anthracothorax_nigricollis,0,1000
Augastes_lumachella,900,2000
Augastes_scutatus,900,2000
Colibri_serrirostris,0,2340
Colibri_delphinae,100,2800
Colibri_thalassinus,500,3000
Colibri_coruscans,1700,4500
Schistes_geoffroyi,900,2800
Doryfera_ludovicae,750,2500
Doryfera_johannae,400,1600
Eutoxeres_aquila,300,2100
Eutoxeres_condamini,180,3300
Phaethornis_superciliosus,0,1400
Phaethornis_idaliae,0,500
Phaethornis_malaris,0,1650
Phaethornis_yaruqui,0,2000
Phaethornis_guy,600,2200
Phaethornis_stuarti,0,1000
Phaethornis_longirostris,0,2500
Phaethornis_bourcieri,0,1600
Phaethornis_hispidus,0,1200
Phaethornis_philippii,0,325
Phaethornis_koepckeae,270,1130
Phaethornis_subochraceus,150,800
Phaethornis_augusti,500,3500
Phaethornis_pretrei,400,2100
Phaethornis_eurynome,100,2250
Phaethornis_squalidus,0,2250
Phaethornis_longuemareus,0,700
Phaethornis_atrimentalis,0,1200
Phaethornis_nattereri,0,500
Phaethornis_ruber,0,1500
Phaethornis_griseogularis,300,1800
Phaethornis_striigularis,0,1570
Phaethornis_anthophilus,0,1500
Phaethornis_rupurumii,0,500
Phaethornis_syrmatophorus,1000,2300
Glaucis_aeneus,0,800
Glaucis_dohrnii,0,500
Anopetia_gounellei,40,1190
Glaucis_hirsutus,0,1800
Ramphodon_naevius,0,500
Threnetes_ruckeri,0,1200
Threnetes_leucurus,0,1800
Threnetes_niger,0,500
Busarellus nigricollis,0,500
Leucopternis princeps,0,750
Buteo albicaudatus,0,2400
Buteo polyosoma,0,5000
Geranoaetus melanoleucus,0,4600
Leucopternis occidentalis,0,1500
Leucopternis albicollis,0,1600
Leucopternis polionotus,500,1500
Leucopternis semiplumbeus,0,1200
Leucopternis kuhli,0,500
Leucopternis melanops,0,1000
Buteo nitidus,0,1800
Buteo lineatus,0,2500
Buteo platypterus,0,3000
Buteo jamaicensis,0,3200
Buteo albigula,1700,3500
Buteo brachyurus,0,2500
Buteo swainsoni,500,2100
Buteo albonotatus,0,3000
Buteo regalis,0,2000
Buteo lagopus,0,1200
Parabuteo unicinctus,0,1900
Buteo leucorrhous,1000,3200
Buteo magnirostris,0,2500
Leucopternis plumbeus,0,1400
Buteogallus meridionalis,0,1000
Buteogallus urubitinga,0,1400
Harpyhaliaetus solitarius,0,500
Harpyhaliaetus coronatus,0,1230
Leucopternis lacernulatus,0,2890
Buteogallus aequinoctialis,0,500
Buteogallus anthracinus,0,1800
Leucopternis schistaceus,0,600
Rostrhamus sociabilis,0,2800
Ictinia plumbea,0,2600
Ictinia mississippiensis,0,1000
Geranospiza caerulescens,0,750
Spiza_americana,0,1500
Cyanocompsa_cyanoides,0,1400
Cyanoloxia_glaucocaerulea,0,1700
Cyanocompsa_brissonii,0,2000
Amaurospiza_concolor,450,2700
Amaurospiza_moesta,0,2700
Amaurospiza_carrizalensis,0,2700
Cyanocompsa_parellina,0,1800
Passerina_caerulea,0,1100
Passerina_amoena,0,3000
Passerina_cyanea,0,1850
Passerina_ciris,0,1850
Passerina_versicolor,0,2000
Passerina_leclancherii,0,1200
Passerina_rositae,180,800
Granatellus_venustus,0,1200
Granatellus_sallaei,0,1200
Granatellus_pelzelni,0,850
Chlorothraupis_carmioli,300,1450
Chlorothraupis_olivacea,0,1500
Chlorothraupis_stolzmanni,200,2100
Habia_cristata,700,2000
Habia_atrimaxillaris,0,200
Habia_rubica,0,2250
Habia_fuscicauda,0,1200
Habia_gutturalis,100,1400
Piranga_rubra,0,2700
Piranga_bidentata,800,2850
Piranga_flava,500,2050
Piranga_ludoviciana,450,3050
Piranga_olivacea,0,3000
Piranga_roseogularis,0,250
Piranga_erythrocephala,900,2600
Piranga_rubriceps,1700,3000
Piranga_leucoptera,100,2000
Caryothraustes_canadensis,250,1250
Caryothraustes_poliogaster,0,1200
Periporphyrus_erythromelas,0,1000
Rhodothraupis_celaeno,0,1200
Cardinalis_sinuatus,0,2000
Cardinalis_cardinalis,0,2597
Cardinalis_phoeniceus,0,700
Pheucticus_chrysopeplus,0,2500
Pheucticus_melanocephalus,0,3000
Pheucticus_ludovicianus,900,2000
Pheucticus_aureoventris,600,3200
Pheucticus_tibialis,700,2600
Pheucticus_chrysogaster,0,3500
Ramphastos_toco,0,1750
Ramphastos_dicolorus,100,1500
Ramphastos_tucanus,0,1440
Ramphastos_ambiguus,0,2286
Ramphastos_vitellinus,0,1700
Ramphastos_brevis,0,1550
Ramphastos_sulfuratus,0,1600
Aulacorhynchus_coeruleicinctis,1600,2500
Aulacorhynchus_haematopygus,300,2200
Aulacorhynchus_sulcatus,300,2000
Aulacorhynchus_derbianus,600,2000
Aulacorhynchus_huallagae,2000,2600
Andigena_laminirostris,1300,2500
Andigena_hypoglauca,2200,3600
Andigena_cucullata,2400,3300
Andigena_nigrirostris,1700,2700
Selenidera_nattereri,0,1000
Selenidera_reinwardtii,0,1000
Selenidera_gouldii,0,800
Selenidera_maculirostris,0,1000
Selenidera_spectabilis,300,1000
Selenidera_piperivora,0,900
Pteroglossus_bailloni,0,1550
Pteroglossus_viridis,0,800
Pteroglossus_inscriptus,0,1000
Pteroglossus_beauharnaesii,0,500
Pteroglossus_bitorquatus,0,800
Pteroglossus_aracari,0,600
Pteroglossus_torquatus,0,1000
Pteroglossus_frantzii,0,1200
Pteroglossus_pluricinctus,500,750
Pteroglossus_castanotis,0,1300
Pteroglossus_azara,0,1400
Semnornis_ramphastinus,1000,2000
Semnornis_frantzii,1200,2200
Capito_dayi,50,550
Capito_aurovirens,500,600
Capito_brunneipectus,0,1000
Capito_niger,0,800
Capito_hypoleucus,700,1600
Capito_squamatus,0,800
Capito_maculicoronatus,0,900
Capito_quinticolor,0,350
Eubucco_tucinkae,150,850
Eubucco_richardsoni,0,1200
Eubucco_versicolor,1000,2000
Eubucco_bourcierii,1000,1800
Poospiza_melanoleuca,0,1800
Poospiza_cinerea,600,1400
Poospiza_torquata,0,1800
Hemispingus_trifasciatus,2900,3600
Poospiza_alticola,2900,4300
Poospiza_erythrophrys,900,3100
Poospiza_cabanisi,0,500
Nephelornis_oneilli,3000,3800
Urothraupis_stolzmanni,3000,4000
Cypsnagra_hirundinacea,0,1000
Donacospiza_albifrons,0,900
Poospiza_caesar,2900,3500
Poospiza_hypochondria,2500,4200
Poospiza_thoracica,800,1500
Thlypopsis_ornata,200,3400
Thlypopsis_pectoralis,2500,3200
Hemispingus_superciliaris,1900,3600
Thlypopsis_ruficeps,1500,3700
Pyrrhocoma_ruficeps,0,1400
Thlypopsis_sordida,0,1500
Thlypopsis_inornata,450,2200
Thlypopsis_fulviceps,750,2300
Hemispingus_frontalis,1500,3200
Hemispingus_melanotis,1100,3050
Hemispingus_reyi,1900,3200
Hemispingus_atropileus,1800,3600
Hemispingus_parodii,2600,3500
Hemispingus_calophrys,2300,3350
Hemispingus_goeringi,2300,3200
Hemispingus_rufosuperciliaris,2800,3500
Poospiza_garleppi,2700,4200
Poospiza_baeri,1200,3100
Poospiza_rubecula,2500,3800
Poospiza_hispaniolensis,0,1000
Poospiza_whitii,600,2500
Poospiza_nigrorufa,0,870
Poospiza_ornata,0,1000
Poospiza_boliviana,1600,3100
Hemispingus_xanthophthalmus,2200,3350
Hemispingus_verticalis,2700,3600
Cnemoscopus_rubrirostris,1250,3350
Xenospingus_concolor,0,2500
Piezorhina_cinerea,0,300
Saltator_aurantiirostris,0,4000
Saltator_maxillosus,900,2200
Saltator_cinctus,1700,3080
Saltator_fuliginosus,0,1200
Saltator_grossus,0,1800
Saltator_nigriceps,1200,2900
Saltator_atriceps,0,1800
Saltator_atripennis,400,2200
Saltator_maximus,0,1800
Saltator_striatipectus,0,2500
Saltator_coerulescens,0,1500
Saltator_similis,0,1200
Saltator_orenocensis,0,600
Saltator_atricollis,500,1800
Saltatricula_multicolor,0,600
Emberizoides_duidae,1300,2100
Emberizoides_herbicola,0,1500
Emberizoides_ypiranganus,0,900
Embernagra_platensis,0,2500
Coryphaspiza_melanotis,0,1200
Sporophila_albogularis,500,1200
Sporophila_collaris,0,500
Sporophila_plumbea,0,1500
Sporophila_falcirostris,0,1200
Sporophila_schistacea,0,2000
Sporophila_caerulescens,0,2100
Sporophila_nigricollis,0,2500
Sporophila_luctuosa,0,3200
Sporophila_frontalis,100,1500
Dolospingus_fringilloides,0,700
Oryzoborus_angolensis,0,1600
Oryzoborus_funereus,0,1600
Sporophila_torqueola,0,2000
Sporophila_intermedia,0,2300
Sporophila_corvina,0,1800
Sporophila_palustris,0,1100
Sporophila_ruficollis,0,1200
Sporophila_hypoxantha,0,1100
Sporophila_bouvreuil,0,1100
Sporophila_hypochroma,0,1100
Sporophila_melanogaster,700,1000
Sporophila_cinnamomea,0,1100
Sporophila_minuta,0,2200
Sporophila_castaneiventris,0,1500
Sporophila_simplex,500,2500
Sporophila_telasco,0,1500
Sporophila_peruviana,0,2000
Sporophila_leucoptera,0,800
Oryzoborus_atrirostris,0,1050
Oryzoborus_crassirostris,0,1400
Oryzoborus_maximiliani,0,1100
Oryzoborus_nuttingi,500,900
Sporophila_lineola,0,500
Tiaris_fuliginosus,0,2300
Tiaris_obscurus,0,2100
Tiaris_bicolor,0,1300
Tiaris_olivaceus,300,2300
Coereba_flaveola,0,2600
Dacnis_viguieri,0,600
Dacnis_lineata,0,1500
Dacnis_hartlaubi,300,2200
Dacnis_flaviventer,0,1000
Dacnis_cayana,0,2000
Dacnis_albiventris,0,500
Dacnis_nigripes,0,850
Dacnis_venusta,0,1000
Tersina_viridis,50,2100
Cyanerpes_caeruleus,0,1800
Cyanerpes_cyaneus,0,2000
Cyanerpes_nitidus,0,1000
Cyanerpes_lucidus,0,1500
Charitospiza_eucosma,0,1200
Ramphocelus_dimidiatus,0,2600
Ramphocelus_nigrogularis,0,1100
Ramphocelus_carbo,0,2000
Ramphocelus_melanogaster,500,1800
Ramphocelus_bresilius,0,800
Ramphocelus_passerinii,0,1200
Ramphocelus_costaricensis,0,1200
Ramphocelus_flammigerus,800,2000
Ramphocelus_sanguinolentus,0,1200
Tachyphonus_rufus,0,2700
Tachyphonus_coronatus,0,1300
Tachyphonus_phoenicius,0,2000
Lanio_leucothorax,0,900
Lanio_aurantius,0,1200
Lanio_fulvus,0,1350
Lanio_versicolor,0,1200
Tachyphonus_delatrii,0,1500
Rhodospingus_cruentus,0,750
Tachyphonus_surinamus,0,1400
Coryphospingus_pileatus,0,1000
Coryphospingus_cucullatus,0,3100
Tachyphonus_luctuosus,0,2200
Tachyphonus_rufiventer,0,1650
Tachyphonus_cristatus,0,1400
Trichothraupis_melanops,0,1700
Eucometis_penicillata,0,1700
