"","Species","taxon","male_mass","female_mass","male_wing","female_wing","male_tarsus","female_tarsus","male_bill","female_bill","female","male","family","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Kipps.Distance","Hand-Wing.Index","Tail.Length","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","min_elev","max_elev","species","mean_hct_female","mean_hct_male","sd_hct_female","sd_hct_male","mean_hb_female","mean_hb_male","sd_hb_female","sd_hb_male","SSDI_hct","SSDI_hb","max_sample_elev","mean_sample_elev","min_sample_elev","SSDI_mass","SSDI_bill","SSDI_wing","SSDI_tarsus"
"2109","Lichenostomus ornatus","Lichenostomus ornatus",18.4,16.9,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",15.9,6.2,2.6,3.3,19.1,20,25.1,67.8,"Woodland",2,1,"Omnivore","Omnivore",-38.07,-28.77,-32.9,132.41,1105315.89,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0887573964497042,NA,NA,NA
"2110","Lichenostomus penicillatus","Lichenostomus penicillatus",20.6,18.2,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",16.2,7.2,2.8,3.4,19.8,17,21.4,70,"Forest",2,1,"Omnivore","Omnivore",-39.48,-17.09,-26.17,135.61,4922061.09,0,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131868131868132,NA,NA,NA
"2111","Xanthotis flaviventer","Xanthotis flaviventer",43.15,37.55,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",29.2,17,4.6,5.7,26,12.4,12.8,76.6,"Forest",1,1,"Carnivore","Invertivore",-15.88,0.59,-5.86,140.99,759089.47,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1491344873502,NA,NA,NA
"2112","Xanthotis polygrammus","Xanthotis polygrammus",21.1,19,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",23,13.2,3.4,4.2,20.2,10.6,14.3,58.1,"Forest",1,1,"Carnivore","Invertivore",-10.73,0.04,-5.12,140.7,420905.85,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110526315789474,NA,NA,NA
"2113","Xanthotis macleayana","Xanthotis macleayana",34.2,28.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.217081850533808,NA,NA,NA
"2114","Melithreptus lunatus","Melithreptus lunatus",15,13.1,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",14.9,7.2,2.9,3.4,17,20.7,27.6,57.5,"Forest",2,1,"Carnivore","Invertivore",-39.51,-15.35,-31.02,142.7,1459394.22,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145038167938931,NA,NA,NA
"2115","Melithreptus albogularis","Melithreptus albogularis",11.6,10.5,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",14.3,7.5,2.8,3.2,15.9,16.5,22.3,52.3,"Forest",2,1,"Carnivore","Invertivore",-31.29,-5.79,-17.95,139.87,1473520.94,0,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104761904761905,NA,NA,NA
"2116","Melithreptus validirostris","Melithreptus validirostris",26.4,23.3,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",19.3,10.4,4.3,4.5,20.3,19.3,23.5,67,"Forest",1,1,"Carnivore","Invertivore",-43.64,-39.58,-41.87,146.64,60660.3,0,1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133047210300429,NA,NA,NA
"2117","Notiomystis cincta","Notiomystis cincta",98.4,88.6,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",20.1,9,3.5,3.9,27.6,25.8,25.2,78,"Forest",1,1,"Omnivore","Omnivore",-41.32,-36.17,-39.19,175,100.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110609480812641,NA,NA,NA
"2118","Pycnopygius ixoides","Pycnopygius ixoides",29.5,25.8,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",18.3,9.9,3.3,4.1,22,12.6,15.4,69.4,"Forest",1,1,"Herbivore","Omnivore",-10.73,-0.34,-4.88,141.11,459537.02,0,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.143410852713178,NA,NA,NA
