"","Species","taxon","male_mass","female_mass","male_wing","female_wing","male_tarsus","female_tarsus","male_bill","female_bill","female","male","family","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Kipps.Distance","Hand-Wing.Index","Tail.Length","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","min_elev","max_elev","species","mean_hct_female","mean_hct_male","sd_hct_female","sd_hct_male","mean_hb_female","mean_hb_male","sd_hb_female","sd_hb_male","SSDI_hct","SSDI_hb","max_sample_elev","mean_sample_elev","min_sample_elev","SSDI_mass","SSDI_bill","SSDI_wing","SSDI_tarsus"
"1","Gymnogyps californianus","Gymnogyps californianus",8800,8100,NA,NA,NA,NA,NA,NA,NA,NA,"Cathartidae",96.5,65.3,33.2,39,115.8,323.5,41.1,350.8,"Shrubland",3,1,"Scavenger","Scavenger",30.72,37.44,35.94,-117.33,101747.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0864197530864197,NA,NA,NA
"2","Vultur gryphus","Vultur gryphus",12500,10100,NA,NA,NA,NA,NA,NA,NA,NA,"Cathartidae",96.8,64.8,30.1,29.1,127.4,350.5,44.9,359.4,"Grassland",3,2,"Scavenger","Scavenger",-55.72,10.93,-30.77,-70.34,2543680.82,0,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.237623762376238,NA,NA,NA
"3","Pandion haliaetus","Pandion haliaetus",1403,1568,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",47,27.7,17.3,19.6,49.8,204.8,44.9,201.3,"Marine",3,3,"Carnivore","Aquatic predator",-37.8,70.69,49.18,25.45,31298390.01,0,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.105229591836735,NA,NA,NA
"4","Aviceda jerdoni","Aviceda jerdoni",363,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",45.5,21.7,12.9,15.9,34.7,76.9,25.6,211,"Forest",2,1,"Carnivore","Omnivore",-5.95,28.63,6.17,107.44,1592906.95,150,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Aviceda subcristata","Aviceda subcristata",307,347,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",28.3,19.7,11.6,14.7,36.3,134.5,40.2,202,"Forest",2,1,"Carnivore","Omnivore",-34.97,2.65,-12.44,141.78,1718124.83,0,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.115273775216138,NA,NA,NA
"6","Aviceda subcristata gurneyi","Aviceda subcristata",314,324,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",28.3,19.7,11.6,14.7,36.3,134.5,40.2,202,"Forest",2,1,"Carnivore","Omnivore",-34.97,2.65,-12.44,141.78,1718124.83,0,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0308641975308642,NA,NA,NA
"7","Chondrohierax uncinatus","Chondrohierax uncinatus",264,310,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",36.2,27,12.4,18.4,33.6,59.8,21,197.6,"Forest",2,2,"Carnivore","Invertivore",-27.24,26.3,-2.71,-64.2,9787616.08,0,3100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.148387096774194,NA,NA,NA
"8","Henicopernis longicauda","Henicopernis longicauda",447,730,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",31.7,21.6,11.2,14.3,50.4,157.2,39.4,301.4,"Forest",2,1,"Carnivore","Invertivore",-10.73,0.04,-5.35,140.86,750041.01,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.387671232876712,NA,NA,NA
"9","Pernis apivorus","Pernis apivorus",684,832,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",34.8,19.1,11.7,13.7,43.9,154.2,37.9,253.2,"Forest",1,3,"Carnivore","Invertivore",35.76,67.06,54.03,38.95,9317297.54,0,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.177884615384615,NA,NA,NA
"10","Pernis ptilorhynchus","Pernis ptilorhynchus",1069,1304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18021472392638,NA,NA,NA
"11","Lophoictinia isura","Lophoictinia isura",501,670,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",45.2,28.2,15.1,18.6,71.6,227,48.1,224.2,"Forest",2,1,"Carnivore","Vertivore",-37.8,-17.67,-27.71,146.84,1100971,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.252238805970149,NA,NA,NA
"12","Hamirostra melanosternon","Hamirostra melanosternon",1196,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",40.1,23.8,12.7,16.3,53,244.5,52,233,"Woodland",2,2,"Carnivore","Vertivore",-38.14,-9.94,-23.36,133.35,5297941.74,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Elanus caeruleus","Elanus caeruleus",241,280,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",30.9,16,9.2,11.3,32.1,132.1,45.2,127.7,"Grassland",3,2,"Carnivore","Vertivore",-34.84,46.65,3.69,41.21,26685941.8,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.139285714285714,NA,NA,NA
"14","Elanus axillaris","Elanus axillaris",249,293,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",25.3,15.5,9,11.4,38.8,153,53.1,136.8,"Grassland",3,2,"Carnivore","Vertivore",-43.06,-10.69,-25.69,134.44,7649038.18,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.150170648464164,NA,NA,NA
"15","Rostrhamus sociabilis plumbeus","Rostrhamus sociabilis",394,446,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",33.1,23.8,11.1,11.3,49.9,134.8,39.1,169.3,"Wetland",2,2,"Carnivore","Aquatic predator",-37.65,29.74,-10.02,-58.23,11603405.03,0,2800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.116591928251121,NA,NA,NA
"16","Rostrhamus sociabilis sociabilis","Rostrhamus sociabilis",308,335,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",33.1,23.8,11.1,11.3,49.9,134.8,39.1,169.3,"Wetland",2,2,"Carnivore","Aquatic predator",-37.65,29.74,-10.02,-58.23,11603405.03,0,2800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0805970149253731,NA,NA,NA
"17","Rostrhamus hamatus","Rostrhamus hamatus",420,431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0255220417633411,NA,NA,NA
"18","Harpagus bidentatus","Harpagus bidentatus",181,256,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",23.7,14.6,11.3,13.5,43.1,64.6,29.6,161.1,"Forest",2,1,"Carnivore","Invertivore",-23.38,21.29,-2.54,-63.34,8976331.27,0,3500,"Harpagus bidentatus",NA,0.424219502,NA,NA,NA,NA,NA,NA,NA,NA,318,318,318,-0.29296875,NA,NA,NA
"19","Harpagus diodon","Harpagus diodon",NA,200,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",23.2,13.8,10.7,13.5,34.2,62.5,30.8,158.6,"Forest",2,3,"Carnivore","Invertivore",-30.93,-11.78,-21.13,-50.61,2345332.63,0,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Ictinia mississippiensis","Ictinia mississippiensis",245,311,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",23,14.7,11,12.3,37,156.5,53.6,150.2,"Woodland",2,3,"Carnivore","Invertivore",28.86,42.56,33.57,-92.91,824795.96,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.212218649517685,NA,NA,NA
"21","Ictinia plumbea","Ictinia plumbea",243,257,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",23.9,15.1,10.8,13.4,33.2,117.8,41.8,134.8,"Forest",2,1,"Carnivore","Invertivore",-29.27,23.69,-7.01,-60.39,12719722.18,0,2600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0544747081712062,NA,NA,NA
"22","Milvus milvus","Milvus milvus",947,1213,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",40.2,26.6,13.2,18.7,52.9,241.6,49.9,317.3,"Shrubland",2,2,"Omnivore","Omnivore",14.8,61.66,48.65,10.52,1698401.57,0,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.219291014014839,NA,NA,NA
"23","Milvus migrans lineatus","Milvus migrans",870,802,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",40.1,22.4,12.9,16.5,51.9,219.9,48.1,293.8,"Woodland",3,3,"Omnivore","Omnivore",-54.78,69.76,26.77,69.99,59168603.49,0,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.084788029925187,NA,NA,NA
"24","Haliaeetus leucogaster","Haliaeetus leucogaster",2400,3330,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",71.3,39.2,18.5,24.9,86,231.8,41.3,253.3,"Coastal",2,1,"Carnivore","Aquatic predator",-43.64,26.38,-9.12,123.68,5127370.7,0,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.279279279279279,NA,NA,NA
"25","Haliaeetus sanfordi","Haliaeetus sanfordi",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",59.5,38.9,18.6,26.9,83,186.8,35.7,265,"Forest",2,1,"Carnivore","Omnivore",-10.85,-5.01,-8.09,158.3,36124.13,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Haliaeetus vocifer","Haliaeetus vocifer",NA,3400,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",58.4,42.2,16.8,25.1,88.2,184.2,33.5,228,"Wetland",2,1,"Carnivore","Aquatic predator",-34.84,18.6,-0.96,20.97,15637883.11,0,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Haliaeetus vociferoides","Haliaeetus vociferoides",NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",57,34.4,16.6,25.1,93.3,156.2,31.9,236.8,"Woodland",2,1,"Carnivore","Aquatic predator",-22.02,-11.95,-17.15,45.57,52761.99,0,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Haliaeetus leucoryphus","Haliaeetus leucoryphus",2597,3207,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",63.6,39.1,19.3,28.3,95.3,241,42.8,290.3,"Wetland",3,3,"Carnivore","Aquatic predator",19.59,32.57,27.12,85.7,533825.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.190208917991893,NA,NA,NA
"29","Haliaeetus albicilla","Haliaeetus albicilla",4014,5572,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",74.1,46.1,22.9,33.9,95,227.2,38,294.2,"Rock",3,2,"Carnivore","Aquatic predator",36.21,73.65,59.89,91.01,17404346.92,0,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.279612347451543,NA,NA,NA
"30","Haliaeetus leucocephalus","Haliaeetus leucocephalus",4130,5350,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",76,48.2,24,34.1,81.7,248.8,41.4,294,"Wetland",3,3,"Carnivore","Omnivore",24.3,69.43,54.57,-113.86,9351853.96,0,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.22803738317757,NA,NA,NA
"31","Ichthyophaga ichthyaetus","Ichthyophaga ichthyaetus",1590,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",66.1,36,16.8,25.7,81.7,134.6,29,268.8,"Woodland",3,1,"Carnivore","Aquatic predator",-7.82,29.13,10.81,102.19,3707887.55,0,1525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Aegypius monachus","Aegypius monachus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",87.8,59.9,27.9,39.8,134.2,302.2,41.1,371,"Forest",2,1,"Scavenger","Scavenger",25.27,54.37,41.63,87.87,7718571.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Circaetus gallicus","Circaetus gallicus",1664,1735,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",47,35,15.5,24.6,90.9,216.8,40.5,280.4,"Woodland",3,3,"Carnivore","Vertivore",-10.94,60.6,40.79,51.26,12695589.93,0,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0409221902017291,NA,NA,NA
"34","Circaetus fasciolatus","Circaetus fasciolatus",934,1100,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",39.8,27.7,13.9,23,71.7,101.5,28,227,"Woodland",3,1,"Carnivore","Vertivore",-29.24,1.34,-10.35,37.83,734455.97,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.150909090909091,NA,NA,NA
"35","Spilornis cheela asturinus","Spilornis cheela",420,565,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",45.6,30.1,14.4,20.8,82.2,112.6,30.1,237.4,"Forest",1,1,"Carnivore","Vertivore",-8.85,34.11,16.74,98.68,6837152.16,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.256637168141593,NA,NA,NA
"36","Circus aeruginosus","Circus aeruginosus",609,814,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",37.3,20.2,11.9,16.2,79.3,185.3,45.6,233.9,"Wetland",3,2,"Carnivore","Vertivore",29.17,66.56,50.03,51.14,13390803.81,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.251842751842752,NA,NA,NA
"37","Circus spilonotus","Circus spilonotus",502,622,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",36.4,20.5,11.9,15.1,87.5,160.2,40.9,228.2,"Wetland",3,3,"Carnivore","Vertivore",-10.15,64.43,52.4,121.64,5799481.42,0,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.192926045016077,NA,NA,NA
"38","Circus approximans","Circus approximans",640,870,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",39.5,21.9,11.9,16.4,89.3,181.9,44.7,233.2,"Wetland",3,2,"Carnivore","Vertivore",-47.28,-13.07,-33.9,146.38,2033024.84,0,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.264367816091954,NA,NA,NA
"39","Circus maillardi maillardi","Circus maillardi",NA,573,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",37.4,19.9,11.1,16.6,83.5,144,40.2,229,"Forest",1,1,"Carnivore","Vertivore",-21.36,-20.88,-21.1,55.53,1488.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Circus maillardi macrosceles","Circus maillardi",600,850,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",37.4,19.9,11.1,16.6,83.5,144,40.2,229,"Forest",1,1,"Carnivore","Vertivore",-21.36,-20.88,-21.1,55.53,1488.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.294117647058824,NA,NA,NA
"41","Circus buffoni","Circus buffoni",420,613,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",41.4,20.9,12.7,16.6,85.3,210,48.2,265,"Grassland",3,2,"Carnivore","Vertivore",-41.17,10.7,-22.38,-55.29,4327364.53,0,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.314845024469821,NA,NA,NA
"42","Circus assimilis","Circus assimilis",465,671,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",36.1,20.2,11.2,16.2,95.2,191.6,45,271.1,"Grassland",3,2,"Carnivore","Vertivore",-39.14,1.76,-25,134.02,7817547.59,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.307004470938897,NA,NA,NA
"43","Circus cinereus","Circus cinereus",337,474,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",29.8,15.7,9.3,12.9,67.5,154.5,44.3,240.4,"Grassland",3,2,"Carnivore","Vertivore",-55.98,6.79,-36.62,-69.21,2424495.35,0,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.289029535864979,NA,NA,NA
"44","Circus cyaneus hudsonius","Circus cyaneus",359,515,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",30.6,16.6,9.9,13.1,76.5,159.6,44.7,172.3,"Grassland",3,3,"Carnivore","Vertivore",30.02,73.38,56.03,7.66,29678658.41,0,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.302912621359223,NA,NA,NA
"45","Circus cyaneus cyaneus","Circus cyaneus",300,430,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",30.6,16.6,9.9,13.1,76.5,159.6,44.7,172.3,"Grassland",3,3,"Carnivore","Vertivore",30.02,73.38,56.03,7.66,29678658.41,0,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.302325581395349,NA,NA,NA
"46","Circus macrourus","Circus macrourus",332,445,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",29.5,15,9.7,12.7,68,185,52.4,226.6,"Grassland",3,3,"Carnivore","Vertivore",41.23,58.45,51.02,62.85,6168290.72,0,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.253932584269663,NA,NA,NA
"47","Circus melanoleucos","Circus melanoleucos",290,390,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",29.9,15.5,9.4,13.1,72.5,179.8,50.5,214,"Grassland",3,3,"Carnivore","Vertivore",25.99,54.28,49.1,122.04,1811211.65,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.256410256410256,NA,NA,NA
"48","Circus pygargus","Circus pygargus",261,370,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",26.1,13.5,8.6,11.2,62,188,52,224.8,"Grassland",3,3,"Carnivore","Vertivore",30.56,60.25,49.91,45.8,6837154.32,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.294594594594595,NA,NA,NA
"49","Polyboroides typus","Polyboroides typus",564,711,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",39.1,21.3,10.3,16.6,88.1,157,35.4,289.9,"Forest",1,1,"Carnivore","Vertivore",-34.84,18.03,-4.02,22.3,14893143.16,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.206751054852321,NA,NA,NA
"50","Kaupifalco monogrammicus","Kaupifalco monogrammicus",251,310,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",29.3,15.8,10.1,12.8,53.1,70.4,32.4,142.6,"Woodland",3,1,"Carnivore","Invertivore",-29.27,17.06,-0.96,19.34,13079368.52,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.190322580645161,NA,NA,NA
"51","Melierax poliopterus","Melierax poliopterus",548,724,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",33.3,19.2,12.1,23.6,88.4,113.7,37.1,203.6,"Shrubland",2,1,"Carnivore","Vertivore",-8.28,11.99,2.87,41.02,2071175.93,0,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.243093922651934,NA,NA,NA
"52","Accipiter trivirgatus","Accipiter trivirgatus",199,353,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",31.7,17.3,10.5,14.1,56.9,49.6,23,171.9,"Forest",1,1,"Carnivore","Vertivore",-8.85,31.08,13.91,101.71,3366430.69,0,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.436260623229462,NA,NA,NA
"53","Accipiter toussenelii","Accipiter toussenelii",164,306,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",24.4,13.9,9.2,11.9,62.1,48.2,24.4,157.2,"Forest",1,1,"Carnivore","Vertivore",-6.06,17.41,3.51,15.99,4598131.33,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.464052287581699,NA,NA,NA
"54","Accipiter griseiceps","Accipiter griseiceps",212,299,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",24.1,14.6,8.8,12.4,52,50,26.8,141.2,"Forest",1,1,"Carnivore","Vertivore",-5.66,1.88,-1.96,121.18,140604.94,0,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.290969899665552,NA,NA,NA
"55","Accipiter tachiro","Accipiter tachiro",202,381,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",18,15.3,9.8,12.3,61,55.6,25.7,180.3,"Forest",1,1,"Carnivore","Vertivore",-34.84,4.53,-12.54,29.9,5174215.21,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.469816272965879,NA,NA,NA
"56","Accipiter castanilius","Accipiter castanilius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",20.5,11.5,8.3,10.9,52.6,38.9,24,135.4,"Forest",1,2,"Carnivore","Vertivore",-10.36,10.12,0.71,18.29,2096401.63,0,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Accipiter badius","Accipiter badius",122,141,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",20.6,12.1,8.8,11.6,43,62.5,32.9,140.6,"Shrubland",2,3,"Carnivore","Vertivore",-29.47,46.39,8.23,44.98,22374973,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.134751773049645,NA,NA,NA
"58","Accipiter brevipes","Accipiter brevipes",168,207,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",21.1,12.1,8.7,11.1,46.4,87.8,40.2,153.5,"Forest",1,3,"Carnivore","Vertivore",31.19,55.86,45.24,45.33,2936751.8,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.188405797101449,NA,NA,NA
"59","Accipiter soloensis","Accipiter soloensis",150,181,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",25.6,11.4,8.6,9.7,39.5,73.1,39,123.4,"Forest",1,3,"Carnivore","Vertivore",20.24,47.24,31.97,117.13,2375886.74,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.171270718232044,NA,NA,NA
"60","Accipiter francesii","Accipiter francesii",117,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.26875,NA,NA,NA
"61","Accipiter hiogaster dampieri","Accipiter hiogaster",183,334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.452095808383234,NA,NA,NA
"62","Accipiter hiogaster pulchellus","Accipiter hiogaster",NA,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Accipiter hiogaster leucosomus","Accipiter hiogaster",247,439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.437357630979499,NA,NA,NA
"64","Accipiter novaehollandiae","Accipiter novaehollandiae",268,482.5,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",29.2,17.9,10.6,15.3,61.8,69.8,30,164.9,"Forest",1,1,"Carnivore","Vertivore",-43.64,2.65,-19.05,142.44,2636167.53,0,1480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.444559585492228,NA,NA,NA
"65","Accipiter fasciatus fasciatus","Accipiter fasciatus",359,592,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",28.5,19.1,11.2,15.2,71.9,103.6,38.3,206,"Forest",1,1,"Carnivore","Vertivore",-43.64,-1.7,-24.45,134.95,8180196.71,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.393581081081081,NA,NA,NA
"66","Accipiter fasciatus didimus","Accipiter fasciatus",227,343,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",28.5,19.1,11.2,15.2,71.9,103.6,38.3,206,"Forest",1,1,"Carnivore","Vertivore",-43.64,-1.7,-24.45,134.95,8180196.71,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.338192419825073,NA,NA,NA
"67","Accipiter albogularis","Accipiter albogularis",221,280,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",27.7,17.8,10.6,14.7,62,81.8,33.9,169,"Forest",1,2,"Carnivore","Vertivore",-11.73,-4.02,-8.15,158.49,37461.21,0,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.210714285714286,NA,NA,NA
"68","Accipiter haplochrous","Accipiter haplochrous",155,254,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",23.7,13.9,9.6,13.2,58.9,74.5,32.7,155,"Forest",1,1,"Carnivore","Vertivore",-22.4,-20.09,-21.33,165.48,16389.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.389763779527559,NA,NA,NA
