class,genus,species,female_body_mass_g,male_body_mass_g
Aves,Accipiter,albogularis,352.5,223
Aves,Accipiter,badius,168.5,125
Aves,Accipiter,bicolor,390,212
Aves,Accipiter,brachyurus,-999,142
Aves,Accipiter,brevipes,230.5,170
Aves,Accipiter,castanilius,176,142.5
Aves,Accipiter,chilensis,377,212
Aves,Accipiter,chionogaster,174,103
Aves,Accipiter,cirrocephalus,231,127.25
Aves,Accipiter,cooperii,529,338.5
Aves,Accipiter,erythrauchen,-999,156
Aves,Accipiter,erythronemius,174,103
Aves,Accipiter,erythropus,146,84.7
Aves,Accipiter,fasciatus,499.375,303.25
Aves,Accipiter,francesiae,154.25,119.5
Aves,Accipiter,gentilis,1117.333334,734
Aves,Accipiter,griseiceps,299,212
Aves,Accipiter,gularis,140.75,103.5
Aves,Accipiter,gundlachi,675,-999
Aves,Accipiter,haplochrous,254,157
Aves,Accipiter,henstii,1050,-999
Aves,Accipiter,hiogaster,597.25,261.375
Aves,Accipiter,imitator,238,208
Aves,Accipiter,luteoschistaceus,-999,213.75
Aves,Accipiter,madagascariensis,209.5,156
Aves,Accipiter,melanochlamys,294,-999
Aves,Accipiter,melanoleucus,865,550
Aves,Accipiter,meyerianus,1100,530
Aves,Accipiter,minullus,97.25,80.9
Aves,Accipiter,nisus,290,147
Aves,Accipiter,novaehollandiae,716,312
Aves,Accipiter,ovampensis,260,140
Aves,Accipiter,poliocephalus,253,205
Aves,Accipiter,rhodogaster,264,113
Aves,Accipiter,rufitorques,-999,209
Aves,Accipiter,rufiventris,-999,-999
Aves,Accipiter,soloensis,192.5,149.5
Aves,Accipiter,striatus,174,103
Aves,Accipiter,superciliosus,134,73.875
Aves,Accipiter,tachiro,340.5,203.5
Aves,Accipiter,toussenelii,340.5,203.5
Aves,Accipiter,trinotatus,-999,-999
Aves,Accipiter,trivirgatus,353,199
Aves,Accipiter,ventralis,174,103
Aves,Accipiter,virgatus,141.5,101.825
Aves,Aegypius,monachus,10000,9250
Aves,Aegypius,occipitalis,-999,-999
Aves,Aquila,adalberti,3873,2624
Aves,Aquila,africana,1153,993.75
Aves,Aquila,audax,3855,3041.5
Aves,Aquila,ayresii,910,714
Aves,Aquila,chrysaetos,4692.25,3708.25
Aves,Aquila,fasciata,2500,1560
Aves,Aquila,gurneyi,3060,-999
Aves,Aquila,heliaca,3845,2949
Aves,Aquila,nipalensis,2987,2333
Aves,Aquila,rapax,2405.5,2034.6
Aves,Aquila,spilogaster,1631,1318
Aves,Aquila,verreauxii,4355.5,3665
Aves,Aviceda,cuculoides,-999,-999
Aves,Aviceda,jerdoni,-999,363
Aves,Aviceda,leuphotes,-999,-999
Aves,Aviceda,subcristata,346.875,308.75
Aves,Busarellus,nigricollis,956,613.5
Aves,Butastur,indicus,433,400.5
Aves,Butastur,liventer,-999,-999
Aves,Butastur,rufipennis,344,326
Aves,Butastur,teesa,-999,-999
Aves,Buteo,albigula,583,432.5
Aves,Buteo,albonotatus,886,628
Aves,Buteo,archeri,1330,988
Aves,Buteo,augur,1165,988
Aves,Buteo,auguralis,760,580
Aves,Buteo,bannermani,1141.5,805
Aves,Buteo,brachypterus,-999,-999
Aves,Buteo,brachyurus,583,432.5
Aves,Buteo,burmanicus,945.75,781
Aves,Buteo,buteo,945.75,781
Aves,Buteo,galapagoensis,1365.333333,961.3333333
Aves,Buteo,hemilasius,1562.5,1175
Aves,Buteo,jamaicensis,1224,1028
Aves,Buteo,japonicus,945.75,781
Aves,Buteo,lagopus,1051.5,847
Aves,Buteo,lineatus,676.75,539
Aves,Buteo,nitidus,624,429.75
Aves,Buteo,oreophilus,-999,-999
Aves,Buteo,plagiatus,624,429.75
Aves,Buteo,platypterus,490,420
Aves,Buteo,regalis,1775,1162.5
Aves,Buteo,ridgwayi,-999,-999
Aves,Buteo,rufinus,1314,1035
Aves,Buteo,rufofuscus,1330,988
Aves,Buteo,socotraensis,1314,1035
Aves,Buteo,solitarius,606,414
Aves,Buteo,swainsoni,1109,811.25
Aves,Buteo,trizonatus,-999,-999
Aves,Buteo,ventralis,1285,1103
Aves,Buteogallus,aequinoctialis,752.5,594.5
Aves,Buteogallus,anthracinus,1199,793
Aves,Buteogallus,coronatus,-999,-999
Aves,Buteogallus,gundlachii,1199,793
Aves,Buteogallus,meridionalis,893.4,849
Aves,Buteogallus,schistaceus,1000,-999
Aves,Buteogallus,solitarius,-999,-999
Aves,Buteogallus,urubitinga,1248,1065
Aves,Chelictinia,riocourii,-999,-999
Aves,Chondrohierax,uncinatus,310,264
Aves,Chondrohierax,wilsonii,310,264
Aves,Circaetus,beaudouini,1774.5,1664
Aves,Circaetus,cinerascens,-999,-999
Aves,Circaetus,cinereus,-999,-999
Aves,Circaetus,fasciolatus,1100,938.5
Aves,Circaetus,gallicus,1774.5,1664
Aves,Circaetus,pectoralis,1774.5,1664
Aves,Circus,aeruginosus,741.5,552.5
Aves,Circus,approximans,870,640
Aves,Circus,assimilis,654.25,465
Aves,Circus,buffoni,612.5,423.5
Aves,Circus,cinereus,471.25,337
Aves,Circus,cyaneus,522.5,346
Aves,Circus,hudsonius,522.5,346
Aves,Circus,macrosceles,711.5,600
Aves,Circus,macrourus,445,327
Aves,Circus,maillardi,711.5,600
Aves,Circus,maurus,-999,-999
Aves,Circus,melanoleucos,422.5,292.5
Aves,Circus,pygargus,376,264
Aves,Circus,ranivorus,-999,423
Aves,Circus,spilonotus,622.25,502.25
Aves,Circus,spilothorax,622.25,502.25
Aves,Clanga,clanga,2405,1751.5
Aves,Clanga,hastata,1643.75,1269.25
Aves,Clanga,pomarina,1643.75,1269.25
Aves,Cryptoleucopteryx,plumbea,-999,-999
Aves,Elanoides,forficatus,536,493.5
Aves,Elanus,axillaris,293,249
Aves,Elanus,caeruleus,268,237
Aves,Elanus,leucurus,317.75,274
Aves,Elanus,scriptus,343,288.6
Aves,Erythrotriorchis,buergersi,-999,575
Aves,Erythrotriorchis,radiatus,1240,635
Aves,Eutriorchis,astur,-999,-999
Aves,Gampsonyx,swainsonii,-999,94
Aves,Geranoaetus,albicaudatus,984,865
Aves,Geranoaetus,melanoleucus,2975.5,1919.5
Aves,Geranoaetus,polyosoma,1141,825
Aves,Geranospiza,caerulescens,328,279
Aves,Gypaetus,barbatus,6212.5,5075
Aves,Gypohierax,angolensis,1712,1505
Aves,Gyps,africanus,-999,-999
Aves,Gyps,bengalensis,-999,-999
Aves,Gyps,coprotheres,8525,8350
Aves,Gyps,fulvus,8525,8350
Aves,Gyps,himalayensis,9000,11000
Aves,Gyps,indicus,-999,-999
Aves,Gyps,rueppelli,-999,-999
Aves,Gyps,tenuirostris,-999,-999
Aves,Haliaeetus,albicilla,5572,4014
Aves,Haliaeetus,humilis,-999,-999
Aves,Haliaeetus,ichthyaetus,2485,1590
Aves,Haliaeetus,leucocephalus,5350,4130
Aves,Haliaeetus,leucogaster,3330,2400
Aves,Haliaeetus,leucoryphus,3088,2562
Aves,Haliaeetus,pelagicus,7885,5500
Aves,Haliaeetus,sanfordi,2400,1980
Aves,Haliaeetus,vocifer,3400,2212.75
Aves,Haliaeetus,vociferoides,3000,-999
Aves,Haliastur,indus,466,409
Aves,Haliastur,sphenurus,845,650
Aves,Hamirostra,melanosternon,-999,1196
Aves,Harpagus,bidentatus,255.5,187
Aves,Harpagus,diodon,200,-999
Aves,Harpia,harpyja,8300,4550
Aves,Harpyopsis,novaeguineae,-999,-999
Aves,Helicolestes,hamatus,426,421.5
Aves,Henicopernis,longicauda,730,447
Aves,Hieraaetus,ayresii,909.75,714
Aves,Hieraaetus,morphnoides,949,633
Aves,Hieraaetus,pennatus,975,705
Aves,Hieraaetus,wahlbergi,1223.5,641
Aves,Hieraaetus,weiskei,949,633
Aves,Ictinaetus,malaiensis,-999,-999
Aves,Ictinia,mississippiensis,311,245
Aves,Ictinia,plumbea,256.5,241
Aves,Kaupifalco,monogrammicus,310,244.25
Aves,Leptodon,cayanensis,268,261
Aves,Leptodon,forbesi,-999,-999
Aves,Leucopternis,kuhli,385,322.25
Aves,Leucopternis,melanops,341.5,312
Aves,Leucopternis,occidentalis,779,626.5
Aves,Leucopternis,semiplumbeus,325,250
Aves,Lophaetus,occipitalis,1445,1137.75
Aves,Lophoictinia,isura,670,501
Aves,Lophotriorchis,kienerii,-999,-999
Aves,Macheiramphus,alcinus,-999,-999
Aves,Megatriorchis,doriae,1000,-999
Aves,Melierax,canorus,724,548
Aves,Melierax,gabar,204,107
Aves,Melierax,metabates,846.75,670.75
Aves,Melierax,poliopterus,724,548
Aves,Micronisus,gabar,203.5,106.5
Aves,Milvus,aegyptius,850,807
Aves,Milvus,migrans,850,807
Aves,Milvus,milvus,1216,938.5
Aves,Morphnarchus,princeps,1000,-999
Aves,Morphnus,guianensis,1750,-999
Aves,Necrosyrtes,monachus,-999,-999
Aves,Neophron,percnopterus,2063,1964.5
Aves,Nisaetus,alboniger,-999,-999
Aves,Nisaetus,bartelsi,-999,-999
Aves,Nisaetus,cirrhatus,1592.5,1360
Aves,Nisaetus,floris,1592.5,1360
Aves,Nisaetus,kelaarti,3362.5,2650
Aves,Nisaetus,nanus,-999,-999
Aves,Nisaetus,nipalensis,3362.5,2650
Aves,Nisaetus,philippensis,1168,-999
Aves,Parabuteo,leucorrhous,389,290
Aves,Parabuteo,unicinctus,1026.375,715
Aves,Pernis,apivorus,811.5,709
Aves,Pernis,celebensis,-999,-999
Aves,Pernis,ptilorhynchus,834.75,734
Aves,Pernis,steerei,-999,-999
Aves,Pithecophaga,jefferyi,6000,4557
Aves,Polemaetus,bellicosus,4952,4162.5
Aves,Polyboroides,radiatus,-999,-999
Aves,Polyboroides,typus,711,564
Aves,Pseudastur,albicollis,789.5,626.5
Aves,Rostrhamus,sociabilis,400,351.5
Aves,Rupornis,magnirostris,332.35,269
Aves,Sarcogyps,calvus,-999,-999
Aves,Spilornis,cheela,565,420
Aves,Spilornis,holospilus,565,420
Aves,Spilornis,kinabaluensis,565,420
Aves,Spilornis,klossi,565,420
Aves,Spilornis,minimus,565,420
Aves,Spilornis,rufipectus,565,420
Aves,Spizaetus,isidori,-999,-999
Aves,Spizaetus,melanoleucus,-999,765
Aves,Spizaetus,nanus,-999,-999
Aves,Spizaetus,ornatus,1410.5,1017
Aves,Spizaetus,tyrannus,1122,904
Aves,Stephanoaetus,coronatus,3757,3760
Aves,Terathopius,ecaudatus,2439,2250
Aves,Torgos,tracheliotos,6575,6800
Aves,Trigonoceps,occipitalis,4675,3813
Aves,Urotriorchis,macrourus,-999,492
Aves,Cathartes,aura,1811,1426
Aves,Cathartes,burrovianus,-999,-999
Aves,Cathartes,melambrotus,-999,-999
Aves,Coragyps,atratus,2103.75,2065
Aves,Gymnogyps,californianus,8100,8800
Aves,Sarcoramphus,papa,-999,-999
Aves,Vultur,gryphus,10100,12125
Aves,Pandion,cristatus,1627,1428
Aves,Pandion,haliaetus,1627,1428
Aves,Sagittarius,serpentarius,3405,3809
Aves,Aix,galericulata,512,628
Aves,Aix,sponsa,637,680
Aves,Alopochen,aegyptiaca,1650,1974
Aves,Amazonetta,brasiliensis,370,430
Aves,Anas,acuta,861.75,930
Aves,Anas,albogularis,469,507.5
Aves,Anas,americana,710,792
Aves,Anas,andium,394,439.5
Aves,Anas,aucklandica,410,521
Aves,Anas,bahamensis,543.25,518.25
Aves,Anas,bernieri,359.5,380
Aves,Anas,capensis,380,419
Aves,Anas,carolinensis,323.5,358.6666667
Aves,Anas,castanea,591.5,671.5
Aves,Anas,chlorotis,410,521
Aves,Anas,clypeata,590,636
Aves,Anas,crecca,323.5,358.6666667
Aves,Anas,cyanoptera,365.25,395.5
Aves,Anas,diazi,1099.5,1206.5
Aves,Anas,discors,395,402
Aves,Anas,eatoni,857.5,927.5
Aves,Anas,erythrorhyncha,539.75,589.5
Aves,Anas,falcata,585,713
Aves,Anas,flavirostris,394,439.5
Aves,Anas,formosa,431,437
Aves,Anas,fulvigula,1095,1142
Aves,Anas,georgica,535,670
Aves,Anas,gibberifrons,469,508
Aves,Anas,gracilis,469,508
Aves,Anas,hottentota,240,-999
Aves,Anas,laysanensis,1095,1142
Aves,Anas,luzonica,779,906
Aves,Anas,melleri,911,1010
Aves,Anas,nesiotis,410,521
Aves,Anas,penelope,724,819
Aves,Anas,platalea,490.5,473.5
Aves,Anas,platyrhynchos,1099.5,1206.5
Aves,Anas,poecilorhyncha,1025,1267.5
Aves,Anas,puna,491.5,554
Aves,Anas,querquedula,310,356.5
Aves,Anas,rhynchotis,619,641
Aves,Anas,rubripes,1107,1245
Aves,Anas,sibilatrix,795,1071.5
Aves,Anas,smithii,597,646
Aves,Anas,sparsa,928.25,1067
Aves,Anas,specularis,1531.5,1460.5
Aves,Anas,strepera,849,968
Aves,Anas,superciliosa,865.3333333,1059
Aves,Anas,undulata,820,959.5
Aves,Anas,versicolor,491.5,533
Aves,Anas,wyvilliana,1095.5,1172.5
Aves,Anas,zonorhyncha,1025,1267.5
Aves,Anser,albifrons,2275.5,2387.5
Aves,Anser,anser,3108,3544.5
Aves,Anser,brachyrhynchus,2608.5,2933
Aves,Anser,cygnoides,3300,3537.5
Aves,Anser,erythropus,1622,1900
Aves,Anser,fabalis,2735.25,3112.75
Aves,Anser,indicus,2110,2500
Aves,Anser,serrirostris,2735.25,3112.75
Aves,Asarcornis,scutulata,2600,3400
Aves,Aythya,affinis,750,842.5
Aves,Aythya,americana,1012.5,1118
Aves,Aythya,australis,838,902
Aves,Aythya,baeri,662,724
Aves,Aythya,collaris,680,730
Aves,Aythya,ferina,869,937
Aves,Aythya,fuligula,682.5,723
Aves,Aythya,innotata,-999,685
Aves,Aythya,marila,958,997
Aves,Aythya,novaeseelandiae,687,677
Aves,Aythya,nyroca,535.5,586
Aves,Aythya,valisineria,1173,1252
Aves,Biziura,lobata,1551,2398
Aves,Branta,bernicla,1230,1402.5
Aves,Branta,canadensis,3877,4135.75
Aves,Branta,hutchinsii,3486.166667,3891.25
Aves,Branta,leucopsis,1586,1790
Aves,Branta,ruficollis,1094,1375
Aves,Branta,sandvicensis,1930,2165
Aves,Bucephala,albeola,334.75,477
Aves,Bucephala,clangula,740.375,1000
Aves,Bucephala,islandica,740.5,1138.75
Aves,Cairina,moschata,1646,2950
Aves,Callonetta,leucophrys,321,416.5
Aves,Camptorhynchus,histrionicus,-999,-999
Aves,Camptorhynchus,labradorius,482,865
Aves,Cereopsis,novaehollandiae,3665,5290
Aves,Chen,caerulescens,2501.75,2744
Aves,Chen,canagica,2766,2771
Aves,Chen,rossii,1597.5,1642.25
Aves,Chenonetta,jubata,800,815
Aves,Chloephaga,hybrida,2022,2575.5
Aves,Chloephaga,melanoptera,3640,2730
Aves,Chloephaga,picta,2672,3142.5
Aves,Chloephaga,poliocephala,1980,2289
Aves,Chloephaga,rubidiceps,1400,1750
Aves,Clangula,hyemalis,705,801.5
Aves,Coscoroba,coscoroba,3800,4600
Aves,Cyanochen,cyanoptera,1420,2180
Aves,Cygnus,atratus,5100,6200
Aves,Cygnus,buccinator,9750,11800
Aves,Cygnus,columbianus,6100,7100
Aves,Cygnus,cygnus,8750,11900
Aves,Cygnus,melancoryphus,4000,5550
Aves,Cygnus,olor,9600,11800
Aves,Dendrocygna,arborea,1150,-999
Aves,Dendrocygna,arcuata,732,866
Aves,Dendrocygna,autumnalis,796,790.75
Aves,Dendrocygna,bicolor,716.5,760.75
Aves,Dendrocygna,eytoni,792,788
Aves,Dendrocygna,guttata,800,-999
Aves,Dendrocygna,javanica,-999,-999
Aves,Dendrocygna,viduata,638,661.5
Aves,Heteronetta,atricapilla,565,507
Aves,Histrionicus,histrionicus,539.25,653
Aves,Hymenolaimus,malacorhynchos,768,897
Aves,Lophodytes,cucullatus,617,617
Aves,Lophonetta,specularioides,965,1078
Aves,Malacorhynchus,membranaceus,344,404
Aves,Marmaronetta,angustirostris,427.5,481
Aves,Melanitta,americana,987,1108.5
Aves,Melanitta,deglandi,1731,1776
Aves,Melanitta,fusca,1731,1776
Aves,Melanitta,nigra,987,1108.5
Aves,Melanitta,perspicillata,907,1000
Aves,Merganetta,armata,328.5,461
Aves,Mergellus,albellus,570.25,667.25
Aves,Mergus,australis,-999,-999
Aves,Mergus,cucullatus,547,610
Aves,Mergus,merganser,1232,1709
Aves,Mergus,octosetaceus,-999,-999
Aves,Mergus,serrator,908,1135
Aves,Mergus,squamatus,956,1232
Aves,Neochen,jubata,1250,-999
Aves,Netta,erythrophthalma,764.5,793.5
Aves,Netta,peposaca,1004,1181
Aves,Netta,rufina,1111.5,1140.5
Aves,Nettapus,auritus,260,285
Aves,Nettapus,coromandelianus,283.5,284
Aves,Nettapus,pulchellus,304,310
Aves,Nomonyx,dominicus,346,385
Aves,Oxyura,australis,825,812
Aves,Oxyura,ferruginea,549,610
Aves,Oxyura,jamaicensis,549,590
Aves,Oxyura,leucocephala,593,737
Aves,Oxyura,maccoa,554,820
Aves,Oxyura,vittata,606.5,690
Aves,Plectropterus,gambensis,4700,6100
Aves,Polysticta,stelleri,842,773
Aves,Pteronetta,hartlaubii,788,976
Aves,Rhodonessa,caryophyllacea,-999,-999
Aves,Salvadorina,waigiuensis,469,393
Aves,Sarkidiornis,melanotos,1778,1955
Aves,Sarkidiornis,sylvicola,1778,1955
Aves,Somateria,fischeri,1599,1512.5
Aves,Somateria,mollissima,2043.5,2218
Aves,Somateria,spectabilis,1628,1707.5
Aves,Speculanas,specularis,-999,-999
Aves,Stictonetta,naevosa,842,969
Aves,Tachyeres,brachypterus,3450,4200
Aves,Tachyeres,leucocephalus,3013,3808
Aves,Tachyeres,patachonicus,2600,3035
Aves,Tachyeres,pteneres,4214,5405.5
Aves,Tadorna,cana,1417,1758
Aves,Tadorna,ferruginea,1116,1364.5
Aves,Tadorna,radjah,839,934
Aves,Tadorna,tadorna,1043,1261
Aves,Tadorna,tadornoides,1291,1559
Aves,Tadorna,variegata,1387,1712
Aves,Thalassornis,leuconotus,695,720
Aves,Anhima,cornuta,-999,-999
Aves,Chauna,chavaria,3090,2117
Aves,Chauna,torquata,4400,-999
Aves,Anseranas,semipalmata,2071,2766
Aves,Aegotheles,affinis,60,47.25
Aves,Aegotheles,albertisi,-999,-999
Aves,Aegotheles,archboldi,-999,-999
Aves,Aegotheles,bennettii,60,47.25
Aves,Aegotheles,crinifrons,-999,-999
Aves,Aegotheles,cristatus,44,44
Aves,Aegotheles,insignis,-999,-999
Aves,Aegotheles,tatei,-999,-999
Aves,Aegotheles,wallacii,52,49.5
Aves,Aerodramus,amelis,10.8,10.5
Aves,Aerodramus,bartschi,-999,-999
Aves,Aerodramus,brevirostris,12,12.8
Aves,Aerodramus,elaphrus,-999,-999
Aves,Aerodramus,francicus,-999,-999
Aves,Aerodramus,fuciphagus,-999,-999
Aves,Aerodramus,germani,-999,-999
Aves,Aerodramus,hirundinaceus,-999,-999
Aves,Aerodramus,inquietus,-999,-999
Aves,Aerodramus,maximus,-999,-999
Aves,Aerodramus,mearnsi,-999,-999
Aves,Aerodramus,papuensis,-999,-999
Aves,Aerodramus,pelewensis,-999,-999
Aves,Aerodramus,salangana,-999,-999
Aves,Aerodramus,sawtelli,-999,-999
Aves,Aerodramus,spodiopygius,11.1,10.5
Aves,Aerodramus,terraereginae,-999,-999
Aves,Aerodramus,unicolor,12,11.9
Aves,Aerodramus,vanikorensis,10.8,10.5
Aves,Aerodramus,vulcanorum,12,12.8
Aves,Aerodramus,whiteheadi,14,-999
Aves,Aeronautes,andecolus,-999,-999
Aves,Aeronautes,montivagus,19.6,20.55
Aves,Aeronautes,saxatalis,31.2,31.2
Aves,Apus,acuticauda,-999,-999
Aves,Apus,affinis,26.1,23.55
Aves,Apus,alexandri,-999,-999
Aves,Apus,apus,40,40
Aves,Apus,balstoni,40,40
Aves,Apus,barbatus,40,40
Aves,Apus,batesi,-999,-999
Aves,Apus,berliozi,40.1,37.6
Aves,Apus,bradfieldi,-999,-999
Aves,Apus,caffer,22,-999
Aves,Apus,cooki,43.6,45.25
Aves,Apus,horus,26.15,24.5
Aves,Apus,leuconyx,43.6,45.25
Aves,Apus,niansae,40,39.5
Aves,Apus,nipalensis,26.1,23.55
Aves,Apus,pacificus,43.6,45.25
Aves,Apus,pallidus,42,-999
Aves,Apus,salimalii,43.6,45.25
Aves,Apus,sladeniae,40,40
Aves,Apus,unicolor,-999,-999
Aves,Chaetura,brachyura,19.5,19.5
Aves,Chaetura,chapmani,-999,17
Aves,Chaetura,cinereiventris,-999,-999
Aves,Chaetura,egregia,-999,-999
Aves,Chaetura,fumosa,15.4,14.2
Aves,Chaetura,martinica,-999,-999
Aves,Chaetura,meridionalis,21.7,-999
Aves,Chaetura,pelagica,-999,23
Aves,Chaetura,spinicaudus,15.4,14.2
Aves,Chaetura,vauxi,21.7,-999
Aves,Chaetura,viridipennis,-999,17
Aves,Collocalia,dodgei,-999,-999
Aves,Collocalia,esculenta,-999,-999
Aves,Collocalia,gigas,-999,-999
Aves,Collocalia,linchi,-999,-999
Aves,Collocalia,troglodytes,-999,-999
Aves,Cypseloides,cherriei,-999,-999
Aves,Cypseloides,cryptus,-999,-999
Aves,Cypseloides,fumigatus,-999,-999
Aves,Cypseloides,lemosi,28.1,-999
Aves,Cypseloides,niger,35,-999
Aves,Cypseloides,senex,-999,-999
Aves,Cypseloides,storeri,-999,39.5
Aves,Cypsiurus,balasiensis,-999,-999
Aves,Cypsiurus,parvus,-999,-999
Aves,Hirundapus,caudacutus,114,122
Aves,Hirundapus,celebensis,-999,-999
Aves,Hirundapus,cochinchinensis,-999,-999
Aves,Hirundapus,giganteus,-999,-999
Aves,Hydrochous,gigas,-999,-999
Aves,Mearnsia,novaeguineae,-999,-999
Aves,Mearnsia,picina,42.5,-999
Aves,Neafrapus,boehmi,13.6,13.5
Aves,Neafrapus,cassini,38.5,41.5
Aves,Panyptila,cayennensis,19.5,22
Aves,Panyptila,sanctihieronymi,-999,-999
Aves,Rhaphidura,leucopygialis,-999,-999
Aves,Rhaphidura,sabini,19.2,19.9
Aves,Schoutedenapus,myoptilus,22,-999
Aves,Streptoprocne,biscutata,-999,85
Aves,Streptoprocne,phelpsi,-999,-999
Aves,Streptoprocne,rutila,19.6,20.6
Aves,Streptoprocne,semicollaris,-999,-999
Aves,Streptoprocne,zonaris,88,83
Aves,Tachornis,furcata,-999,-999
Aves,Tachornis,phoenicobia,-999,-999
Aves,Tachornis,squamata,10.2,9.8
Aves,Tachymarptis,aequatorialis,-999,-999
Aves,Tachymarptis,melba,98,94
Aves,Telacanthura,melanopygia,52,-999
Aves,Telacanthura,ussheri,31.5,31
Aves,Zoonavena,sylvatica,-999,-999
Aves,Zoonavena,thomensis,-999,-999
Aves,Hemiprocne,comata,-999,-999
Aves,Hemiprocne,coronata,-999,-999
Aves,Hemiprocne,longipennis,-999,-999
Aves,Hemiprocne,mystacea,60,-999
Aves,Abeillia,abeillei,-999,-999
Aves,Adelomyia,melanogenys,2.8,3.6
Aves,Aglaeactis,castelnaudii,6.2,7.2
Aves,Aglaeactis,cupripennis,8.2,7.9
Aves,Aglaeactis,pamela,5.8,5.2
Aves,Aglaiocercus,berlepschi,4.55,5.1
Aves,Aglaiocercus,coelestis,5.05,6.375
Aves,Aglaiocercus,kingii,4.6,5.1
Aves,Amazilia,amabilis,2.6,3.9
Aves,Amazilia,amazilia,3.8,3.9
Aves,Amazilia,beryllina,4.8,4.8
Aves,Amazilia,boucardi,-999,-999
Aves,Amazilia,brevirostris,4.4,4.6
Aves,Amazilia,candida,3,4.5
Aves,Amazilia,castaneiventris,-999,-999
Aves,Amazilia,chionogaster,4.85,5.55
Aves,Amazilia,cyanifrons,-999,-999
Aves,Amazilia,cyanocephala,5,6.5
Aves,Amazilia,cyanura,-999,3.9
Aves,Amazilia,decora,2.6,3.9
Aves,Amazilia,edward,-999,-999
Aves,Amazilia,fimbriata,4.7,5.1
Aves,Amazilia,franciae,5.1,4.7
Aves,Amazilia,lactea,-999,5.4
Aves,Amazilia,leucogaster,-999,-999
Aves,Amazilia,luciae,-999,-999
Aves,Amazilia,rosenbergi,3.5,3.4
Aves,Amazilia,rutila,3.4,5
Aves,Amazilia,saucerottei,4.7,4.5
Aves,Amazilia,tobaci,4.4,4.75
Aves,Amazilia,tzacatl,4.76,5.35
Aves,Amazilia,versicolor,-999,-999
Aves,Amazilia,violiceps,-999,-999
Aves,Amazilia,viridicauda,5.6,6.2
Aves,Amazilia,viridifrons,5.3,5.5
Aves,Amazilia,viridigaster,3.5,4
Aves,Amazilia,wagneri,5.3,5.5
Aves,Amazilia,yucatanensis,3.7,4.075
Aves,Androdon,aequatorialis,-999,-999
Aves,Anthracothorax,dominicus,5.15,5.95
Aves,Anthracothorax,mango,-999,-999
Aves,Anthracothorax,nigricollis,7,7.45
Aves,Anthracothorax,prevostii,6.8,7.3
Aves,Anthracothorax,viridigula,-999,8.5
Aves,Anthracothorax,viridis,-999,-999
Aves,Aphantochroa,cirrochloris,-999,-999
Aves,Archilochus,alexandri,3.6,3.25
Aves,Archilochus,colubris,3.345,3.05
Aves,Atthis,ellioti,2.95,-999
Aves,Atthis,heloisa,-999,-999
Aves,Augastes,lumachella,-999,-999
Aves,Augastes,scutatus,-999,-999
Aves,Avocettula,recurvirostris,-999,4.2
Aves,Basilinna,leucotis,3.25,3.6
Aves,Basilinna,xantusii,3.4,3.5
Aves,Boissonneaua,flavescens,8.6,8.7
Aves,Boissonneaua,jardini,-999,-999
Aves,Boissonneaua,matthewsii,6.8,7.8
Aves,Calliphlox,amethystina,3,3
Aves,Calliphlox,bryantae,3.7,3.3
Aves,Calliphlox,evelynae,2.4,-999
Aves,Calliphlox,mitchellii,-999,-999
Aves,Calothorax,lucifer,3.29,2.975
Aves,Calothorax,pulcher,2.8,2.2
Aves,Calypte,anna,4.035,4.5
Aves,Calypte,costae,3.21,3
Aves,Campylopterus,curvipennis,7.1,6.7
Aves,Campylopterus,duidae,5.825,6.65
Aves,Campylopterus,ensipennis,-999,-999
Aves,Campylopterus,excellens,6.95,10.8
Aves,Campylopterus,falcatus,-999,-999
Aves,Campylopterus,hemileucurus,8.9,11.8
Aves,Campylopterus,hyperythrus,-999,-999
Aves,Campylopterus,largipennis,7.5,9.8
Aves,Campylopterus,pampa,7.1,6.7
Aves,Campylopterus,rufus,6.2,8
Aves,Campylopterus,villaviscensio,6.5,8.4
Aves,Chaetocercus,bombus,-999,-999
Aves,Chaetocercus,mulsant,4.5,3.8
Aves,Chalcostigma,herrani,5.2,6
Aves,Chalcostigma,ruficeps,3,3.8
Aves,Chalcostigma,stanleyi,4.5,6
Aves,Chalybura,buffonii,6.75,7
Aves,Chalybura,urochrysia,6.4,6.9
Aves,Chlorestes,notata,4.1,4.2
Aves,Chlorostilbon,alice,-999,-999
Aves,Chlorostilbon,assimilis,2.8,2.7
Aves,Chlorostilbon,auriceps,2.8,2.7
Aves,Chlorostilbon,bracei,3.54,3.35
Aves,Chlorostilbon,canivetii,2.8,2.7
Aves,Chlorostilbon,forficatus,2.8,2.7
Aves,Chlorostilbon,gibsoni,2.9,2.75
Aves,Chlorostilbon,lucidus,2.8,3.4
Aves,Chlorostilbon,maugaeus,-999,-999
Aves,Chlorostilbon,melanorhynchus,2.9,2.75
Aves,Chlorostilbon,mellisugus,2.8,2.7
Aves,Chlorostilbon,olivaresi,3.6,3.8
Aves,Chlorostilbon,poortmani,-999,-999
Aves,Chlorostilbon,ricordii,3.54,3.35
Aves,Chlorostilbon,russatus,-999,-999
Aves,Chlorostilbon,stenurus,-999,-999
Aves,Chlorostilbon,swainsonii,-999,-999
Aves,Chrysolampis,mosquitus,-999,4.3
Aves,Chrysuronia,oenone,4.8,5.5
Aves,Clytolaema,rubricauda,-999,-999
Aves,Coeligena,bonapartei,6.15,7.15
