"","Cmean","I","K","Kstar","CmeanP","IP","KP","KstarP"
"1",0.0515500644488493,0.0046420493941852,0.0152179332036295,0.0166093371027347,0.019,0.00885,0.0459,0.11235
"2",0.0722234862436739,0.013311935063659,0.125995622349588,0.136402600899207,0.0703,0.08505,0.89005,0.90815
"3",0.0798958316698044,0.0292464866951303,0.13749285728647,0.153088178606422,0.111,0.124,0.964,0.981
